ParticipantID,ImageNumber,xPos,Ypos
54,0,193.5,169
54,1,116.5,253
54,2,670.5,171
54,3,770.5,171
54,4,334.5,281
54,5,275.5,224
54,6,670.5,116
54,7,770.5,116
54,8,258.5,164
54,9,570.5,61
54,10,670.5,61
54,11,770.5,61
